,credit.policy,int.rate,installment,log.annual.inc,dti,days.with.cr.line,revol.bal,revol.util,delinq.2yrs,pub.rec,not.fully.paid,refi_possible,Loan_type
21,1,0.1461,172.38,10.49127422,16.57,5400.0,0,34.5,0,0,0,1,1
22,1,0.1126,328.64,10.59663473,6.15,7680.0,1101,3.3,0,0,0,0,2
23,1,0.0859,158.06,9.903487553,10.92,4319.958333,5276,50.2,0,0,0,1,0
24,1,0.0832,204.65,10.59653473,5.43,2850.0,9830,19.0,0,0,0,0,0
25,1,0.1438,859.07,11.28978191,20.79,3059.041667,30946,61.5,0,0,1,0,3
26,1,0.1347,162.83,11.51292546,21.8,6420.041667,52757,96.4,0,0,0,1,0
27,1,0.16,492.21,10.60658506,19.16,6540.0,11018,82.2,0,0,0,1,0
28,1,0.1292,175.01,11.32659589,14.24,8670.0,56002,73.8,0,0,0,1,0
29,1,0.1025,777.24,11.06663836,7.59,6300.041667,14882,28.2,0,0,0,1,0
30,1,0.1461,275.81,11.65268741,13.36,4349.958333,2884,96.8,0,0,1,0,0
31,1,0.1128,139.71,10.91508846,4.65,3209.958333,2801,63.7,0,0,1,1,1
32,1,0.1189,663.28,11.1844214,14.12,3210.0,20979,68.6,0,0,0,1,0
33,1,0.1385,596.82,11.22524339,22.18,3210.041667,38537,88.0,0,0,1,0,3
34,1,0.1438,352.22,11.1844214,17.83,1289.958333,3815,6.5,0,0,0,1,0
35,1,0.1028,29.16,9.392661929,16.7,2069.0,3084,65.6,0,0,1,0,5
36,1,0.0774,124.88,10.25765937,17.64,5610.041667,611,6.9,0,0,0,1,4
37,1,0.1774,720.42,11.31447453,2.87,4290.958333,9603,51.9,1,0,1,0,0
38,1,0.1357,679.37,11.31447453,12.34,4200.0,24387,36.6,0,0,0,1,0
39,1,0.1316,303.94,10.59663473,9.66,4019.958333,1813,27.1,0,1,0,1,1
40,1,0.0894,190.63,11.15625052,9.46,4681.958333,19298,35.5,0,0,0,0,1
41,1,0.1442,226.93,10.30895266,11.08,1199.958333,6593,55.9,0,0,0,0,0
42,1,0.16,421.89,10.89673933,11.2,3945.958333,5418,33.9,0,0,1,0,3
43,1,0.1253,60.24,10.57745191,11.9,5190.041667,2496,56.7,0,1,0,0,1
44,1,0.1284,268.95,10.49127422,8.8,1979.958333,3756,85.4,0,0,0,1,0
45,1,0.0894,57.19,10.53209621,21.54,3179.958333,2940,32.3,0,0,0,0,5
46,1,0.0859,269.48,10.89673933,10.56,4110.041667,3168,15.1,0,0,0,1,0
47,1,0.1114,328.04,10.30895266,12.92,4470.0,14257,29.5,0,0,1,1,0
48,1,0.1426,343.06,11.08214255,3.42,3530.041667,10141,47.4,1,1,0,0,0
49,1,0.16,281.26,11.00209984,6.78,4080.0,0,0.0,1,0,0,0,0
50,1,0.1253,811.56,12.32385568,12.7,9000.0,121563,26.6,0,0,0,1,2
51,1,0.1253,66.94,10.37349118,9.04,1740.0,10186,50.7,0,0,1,1,1
52,1,0.1253,334.67,12.16002871,12.2,8340.0,444,2.5,0,0,0,1,5
53,1,0.08,313.37,11.3736634,4.9,5899.958333,33850,57.9,0,0,0,0,0
54,1,0.1204,372.22,10.71441777,21.33,4710.0,17850,66.3,0,0,0,1,0
55,1,0.0894,406.68,10.4341158,0.18,5432.0,306,0.5,0,0,0,1,0
56,1,0.1568,420.02,11.28978191,14.21,4470.0,8664,93.2,0,0,0,1,0
57,1,0.1322,169.01,11.60823564,15.4,3842.041667,53761,92.1,0,0,1,0,2
58,1,0.1287,168.17,10.49127422,18.23,9600.041667,7790,82.0,0,0,0,0,1
59,1,0.147,51.78,10.1266311,3.84,1530.0,1238,61.9,1,0,0,0,1
60,1,0.0859,379.33,11.06663836,9.45,8430.041667,2910,5.8,0,0,0,1,1
61,1,0.1183,811.79,11.91839057,13.42,11706.0,346,0.7,0,0,0,1,1
62,1,0.0963,107.52,11.25544923,7.3,3420.041667,14578,56.1,0,0,0,1,5
63,1,0.1537,871.16,11.40645322,22.59,4980.0,30523,77.7,0,0,0,1,3
64,1,0.1083,212.28,10.61820051,24.43,3900.0,28473,26.6,0,0,0,1,0
65,1,0.0976,80.39,9.998797732,22.25,2404.041667,2574,10.5,0,0,0,1,1
66,1,0.0788,306.55,10.77895629,7.95,3990.0,11723,34.5,0,0,0,1,0
67,1,0.1253,200.8,11.73606902,11.11,5190.0,19058,41.8,0,0,0,1,1
68,1,0.1126,414.08,10.65735347,18.15,2674.041667,4297,39.8,0,0,0,1,0
69,1,0.0894,397.15,10.6454249,14.86,3990.0,10687,30.9,0,0,0,1,0
70,1,0.1357,611.44,11.05089001,24.4,4201.958333,19525,59.0,0,0,0,1,0
71,1,0.1459,372.23,10.13062313,1.96,4682.0,1713,24.1,0,0,0,1,1
72,1,0.1114,203.39,10.08580911,8.9,4470.041667,6143,56.4,0,0,1,1,0
73,1,0.1148,576.95,13.36295384,1.55,2970.0,9132,36.5,1,0,0,0,0
74,1,0.0963,385.14,10.46310334,15.94,7139.958333,12002,29.4,0,0,0,1,0
75,1,0.1461,499.89,10.16585182,2.63,13023.04167,1318,94.1,0,0,0,1,1
76,1,0.08,58.76,10.81977828,19.06,4773.0,27835,45.8,0,0,0,1,0
77,1,0.1385,327.4,11.40756495,4.95,4290.041667,16733,70.0,0,0,0,1,0
78,1,0.1128,65.75,10.6454249,13.43,3210.0,6353,45.7,0,0,0,1,1
79,1,0.1474,268.53,10.4341158,13.59,2040.0,22556,73.0,0,0,0,1,3
80,1,0.1189,265.32,10.59663473,15.69,2640.0,7131,93.8,0,0,0,1,0
81,1,0.1218,399.6,11.40756495,16.27,2820.958333,34730,52.6,0,0,0,1,0
82,1,0.0714,92.82,10.98529272,12.85,3480.041667,3210,12.7,0,0,0,1,0
83,1,0.1426,624.37,10.93131966,15.65,2610.041667,17506,76.4,0,0,0,0,0
84,1,0.0832,125.94,11.10465643,0.0,4740.0,1401,1.9,0,0,0,1,2
85,1,0.0976,80.39,10.49127422,0.5,1680.041667,11794,59.3,0,0,0,1,1
86,1,0.1426,548.9,11.1844214,18.87,5190.0,33587,45.6,0,0,0,1,1
87,1,0.0859,126.45,11.71993963,7.67,5850.0,32282,66.6,0,0,0,0,1
88,1,0.1774,720.42,11.20367921,14.06,4229.958333,55912,68.1,0,0,1,0,0
89,1,0.1347,305.31,11.1844214,12.85,3510.0,8081,58.1,1,0,0,0,0
90,1,0.1531,530.94,11.98292909,19.72,5940.0,6563,17.9,0,0,0,1,3
91,1,0.1411,123.23,10.30895266,0.04,6239.958333,1,0.0,0,1,0,1,3
92,1,0.1392,681.89,11.73606902,14.16,3629.958333,8641,41.9,0,0,1,1,1
93,1,0.1322,676.02,11.08980542,9.07,3060.041667,15389,81.0,0,0,0,1,0
94,1,0.1379,265.79,10.4341158,21.18,4229.958333,4601,32.0,0,0,1,0,0
95,1,0.0894,149.33,10.36646657,21.3,1950.041667,4638,69.2,0,0,0,1,0
96,1,0.0963,80.24,10.49127422,22.1,3990.0,2307,46.1,0,0,0,1,2
97,1,0.1322,676.02,11.19674789,20.31,7529.958333,67342,58.6,0,0,0,1,0
98,1,0.1253,261.04,10.6454249,19.0,4320.0,0,0.0,0,0,0,0,0
99,1,0.0859,63.23,12.14421852,8.55,4979.958333,26702,75.0,0,0,0,1,1
100,1,0.0894,111.21,10.23995979,1.71,2099.958333,2697,69.2,0,0,0,1,1
101,1,0.1496,277.16,11.35040654,17.34,3360.041667,8590,87.7,0,0,0,1,2
102,1,0.1347,678.46,10.6454249,19.89,4169.958333,20563,97.0,0,0,0,1,0
103,1,0.157,350.11,11.19684392,3.29,6960.0,4322,86.4,0,4,0,1,4
104,1,0.1253,502.0,11.33857208,10.13,5370.0,15690,52.1,0,0,1,1,2
105,1,0.1189,39.8,9.472704636,24.09,1387.0,772,25.7,0,0,0,1,5
106,1,0.1565,262.4,11.69524702,17.2,4830.0,38447,82.9,0,0,0,0,3
107,1,0.1379,272.61,11.00209984,10.54,7049.958333,12927,33.1,0,0,0,1,3
108,1,0.1347,508.84,11.12726298,10.69,1710.0,14045,85.6,0,0,0,1,0
109,1,0.1422,137.14,12.4292162,14.91,5156.0,8847,36.9,0,0,0,1,4
110,1,0.0751,311.1,11.45105006,5.96,4560.041667,202,1.3,0,0,0,0,1
111,1,0.1442,182.23,10.81985828,15.24,2760.041667,2401,57.2,0,0,0,1,5
112,1,0.0963,288.85,11.15625052,8.45,4890.041667,7215,30.8,0,0,0,0,1
113,1,0.1426,384.23,10.77895629,12.55,1927.041667,11969,82.5,0,0,0,1,1
114,1,0.1287,302.7,11.11382009,15.85,3209.958333,22002,81.2,0,0,0,0,4
115,1,0.1426,343.06,11.12726298,15.63,5039.958333,876,25.0,0,0,0,1,0
116,1,0.08,282.03,10.85591733,8.4,3870.041667,2475,12.3,0,0,0,1,4
117,1,0.0788,350.34,11.03488966,22.49,6180.0,16472,47.9,0,0,0,1,0
118,1,0.1091,404.62,10.75177778,16.39,5640.0,8332,39.9,0,0,0,0,3
119,1,0.1221,116.61,11.12732181,17.82,6719.958333,53059,89.9,0,0,0,0,3
120,1,0.1253,334.67,9.980448594,4.72,1200.041667,2638,11.5,0,0,0,0,1
121,1,0.1322,84.51,11.08214255,19.68,5399.958333,20241,66.4,0,0,0,1,1
122,1,0.1158,495.21,11.51292546,22.37,3652.0,16386,62.0,0,0,0,1,0
123,1,0.1565,587.77,11.28978191,23.65,1890.0,19333,61.2,0,0,0,0,0
124,1,0.0676,107.7,10.858999,14.54,3390.0,1498,2.7,0,0,0,0,5
125,1,0.1218,333.0,10.77895629,10.68,5730.0,3486,51.3,0,0,0,0,1
126,1,0.0774,280.97,11.68687877,8.47,6120.958333,2525,7.3,0,0,0,1,1
127,1,0.1136,822.78,11.81303006,20.51,7596.041667,43567,76.8,0,0,0,1,0
128,1,0.08,62.68,11.51292546,0.71,5490.0,3520,6.8,0,0,0,1,3
129,1,0.1292,252.42,10.98529272,18.81,3889.0,12195,58.9,0,1,1,0,0
130,1,0.1025,194.31,11.50287513,21.9,3030.041667,6809,42.3,0,0,0,0,0
131,1,0.1025,32.39,9.259130536,21.37,5310.041667,5430,48.9,1,0,1,0,5
132,1,0.1531,208.9,10.72317927,14.7,3060.041667,6474,93.8,0,0,0,1,0
133,1,0.1103,235.83,10.34174248,14.4,3930.0,19076,66.6,0,0,1,1,1
134,1,0.1357,397.44,10.92593848,22.66,5580.0,16677,45.9,0,0,0,1,0
135,1,0.1496,242.53,10.83958091,8.59,1650.041667,6907,92.1,2,0,1,0,4
136,1,0.0932,159.74,10.20359214,1.56,7829.958333,1303,23.7,0,0,0,1,1
137,1,0.0963,320.95,10.68510338,1.35,7559.958333,1876,12.3,0,0,1,0,1
138,1,0.1039,324.51,11.08795638,14.82,6420.0,0,0.0,0,0,0,1,1
139,1,0.1148,49.46,9.798127037,7.07,2220.0,2217,34.1,0,0,1,1,1
140,1,0.1316,128.33,10.71441777,17.01,2550.0,5144,29.1,0,0,0,1,5
141,1,0.0863,189.77,11.51292546,4.55,6480.0,3828,12.0,1,0,0,0,0
142,1,0.1635,254.37,11.31447453,8.97,6329.958333,10085,33.5,0,0,0,0,2
143,1,0.1218,499.5,11.33857208,24.66,11159.95833,22319,58.7,2,0,0,0,0
144,1,0.1287,201.8,11.28978191,13.05,3030.0,9640,49.9,0,1,0,1,0
145,1,0.0774,312.19,13.99783211,0.8,11700.0,7729,12.9,0,0,0,1,1
146,1,0.1114,177.97,11.28978191,24.77,3750.041667,12216,56.6,0,0,0,1,3
147,1,0.1273,268.53,11.05089001,15.26,5670.041667,33274,97.9,0,0,0,0,3
148,1,0.1474,207.23,10.49127422,14.0,2730.0,20616,94.1,0,0,1,0,3
149,1,0.1385,818.5,10.66895539,13.7,9600.041667,12606,88.2,0,0,0,1,0
150,1,0.1253,127.18,10.51856508,12.36,3749.958333,168,56.0,0,0,0,1,0
151,1,0.1114,157.46,9.903487553,3.12,1500.0,2644,23.4,0,0,0,1,1
152,1,0.1241,200.47,10.77895629,17.53,6509.958333,1966,93.6,0,0,1,1,1
153,1,0.1474,345.37,10.83958091,18.71,4740.0,18540,62.4,0,0,1,0,0
154,1,0.0894,158.86,10.16585182,14.95,11702.0,10681,22.3,0,0,0,1,1
155,1,0.1272,687.13,10.96812932,9.48,3840.041667,14066,24.3,0,0,0,0,0
156,1,0.1287,840.83,13.71015004,1.16,4890.0,30706,44.0,0,0,0,1,1
157,1,0.1158,561.23,10.858999,16.94,4949.958333,11467,39.1,0,0,0,1,0
158,1,0.1103,245.65,11.00209984,16.12,4469.958333,16382,52.3,1,0,1,0,0
159,1,0.0988,322.11,11.54482134,14.44,5730.041667,18111,69.1,0,0,0,1,0
160,1,0.1635,529.94,12.25486281,19.33,6029.958333,26388,94.2,0,1,1,1,1
161,1,0.1148,494.53,12.15477935,6.35,7229.958333,544,2.7,1,0,0,0,1
162,1,0.1392,682.74,11.28603741,17.09,4684.0,26379,79.9,0,0,0,1,0
163,1,0.1461,155.14,10.81977828,19.78,2459.958333,7114,9.2,0,0,0,0,0
164,1,0.1347,678.46,11.69524702,12.8,5639.958333,35214,81.0,0,0,0,0,0
165,1,0.1189,99.5,10.34817337,7.35,2399.958333,2572,30.3,0,0,0,1,0
166,1,0.08,172.35,10.37361617,19.2,3749.958333,6860,29.4,0,0,0,1,0
167,1,0.1322,845.02,10.91806585,0.0,3933.041667,0,0.0,0,0,0,1,1
168,1,0.1379,54.53,10.91508846,14.68,5310.041667,23713,73.5,0,0,0,1,5
169,1,0.0894,381.26,11.60823564,7.3,4979.958333,1,0.1,0,0,0,1,1
170,1,0.1719,303.85,11.22524339,7.86,2730.041667,15350,84.0,1,0,0,0,0
171,1,0.1496,207.87,11.35040654,11.55,4289.958333,5341,0.0,0,0,0,1,3
172,1,0.1392,153.62,10.30895266,24.6,2582.041667,1355,36.6,0,0,0,0,1
173,1,0.1387,375.26,10.81985828,20.93,2340.041667,17436,93.2,0,0,0,1,0
174,1,0.1426,205.84,10.60905725,20.83,1260.0,12,1.5,0,0,0,0,1
175,1,0.1126,492.95,10.93310697,7.16,2970.0,30282,54.3,0,0,0,1,3
176,1,0.0859,316.11,11.54248427,15.22,4830.041667,7015,24.5,0,0,0,1,0
177,1,0.1114,656.07,11.60823564,21.69,9990.0,67969,40.5,0,0,0,0,0
178,1,0.102,161.81,11.15619338,8.21,3070.0,2535,50.7,0,0,0,0,1
179,1,0.0774,280.97,11.77535127,1.68,5352.958333,6638,40.7,0,0,0,1,2
180,1,0.08,188.02,11.22524339,16.08,4888.958333,29797,23.2,0,0,0,1,1
181,1,0.1267,536.57,11.42081018,10.13,5280.041667,23129,79.8,1,0,1,0,0
182,1,0.1287,311.11,10.22034,18.97,2550.0,9666,83.3,0,0,0,1,0
183,1,0.1947,184.49,11.69524702,9.35,4260.0,2379,40.3,0,0,0,1,3
184,1,0.1025,518.16,13.30468493,4.61,7440.041667,12997,65.7,0,0,0,1,3
185,1,0.1103,163.77,11.42566678,12.44,5700.0,7945,41.4,0,0,0,0,2
186,1,0.1134,210.56,10.858999,16.98,1469.958333,2898,41.4,0,0,0,1,0
187,1,0.1253,167.34,10.87804719,14.08,3809.958333,12053,87.3,0,0,0,0,2
188,1,0.1126,295.77,12.30517562,9.11,4619.958333,12904,66.9,0,0,0,1,0
189,1,0.1347,67.85,10.14643373,14.64,6809.958333,11821,33.7,1,0,0,0,0
190,1,0.06,91.27,9.793449447,5.69,4320.0,859,10.7,0,0,0,1,5
191,1,0.0963,320.95,10.54442628,15.05,4079.958333,1571,11.9,0,0,0,1,0
192,1,0.08,156.69,10.91501573,7.53,5219.958333,6576,25.2,0,0,0,1,0
193,1,0.0832,113.35,9.40261226,6.14,4110.958333,2877,70.2,0,0,0,1,0
194,1,0.1531,382.97,10.81977828,22.9,2610.0,27297,80.0,0,0,0,1,0
195,1,0.0832,78.72,10.1960079,6.58,6270.0,5134,13.7,2,0,0,0,1
196,1,0.1158,528.22,12.61153775,7.6,4214.0,41491,60.9,0,0,0,1,1
197,1,0.0976,204.19,11.08214255,13.79,8039.958333,14102,35.4,0,0,0,0,2
198,1,0.1357,679.37,11.1844214,23.22,7980.0,46881,62.9,0,0,0,1,0
199,1,0.1505,208.15,11.07702177,11.58,4529.958333,5518,98.3,0,0,0,1,4
200,1,0.183,907.6,12.7367009,11.99,5190.0,5011,5.5,0,0,0,0,3
201,1,0.0963,96.29,10.858999,6.83,5040.0,2936,43.2,1,0,0,0,1
202,1,0.1253,562.24,10.81977828,8.21,2160.0,21589,84.9,0,0,0,1,0
203,1,0.1411,201.1,9.862665558,0.56,6540.0,0,0.0,0,0,0,0,5
204,1,0.1183,347.91,11.27720313,4.57,5220.041667,258,0.7,0,0,1,1,2
205,1,0.1095,91.6,10.08580911,4.15,2669.958333,1085,4.1,0,0,0,0,5
206,1,0.0988,483.16,11.09741002,7.69,5400.041667,8816,23.8,0,0,0,1,1
207,1,0.0859,205.47,11.33260191,11.48,2190.0,1653,6.6,0,0,0,1,1
208,1,0.1379,340.76,10.59663473,21.66,4049.958333,11998,48.2,0,0,0,1,0
209,1,0.1183,157.39,9.862665558,22.69,3330.0,11023,79.3,0,0,0,1,0
210,1,0.1189,716.35,10.98529272,6.69,2580.0,2357,3.4,0,0,0,0,0
211,1,0.074,217.42,10.73639668,23.87,2912.0,1095,5.2,0,0,0,0,1
212,1,0.1189,198.99,10.46321762,11.55,1889.958333,1003,43.6,0,0,0,0,4
213,1,0.1284,806.83,11.22524339,18.51,6780.0,7815,6.1,0,0,0,1,3
214,1,0.1496,173.23,10.33516607,14.69,4800.041667,11886,90.0,0,0,0,1,0
215,1,0.1496,207.87,11.20504069,18.43,5517.0,14417,82.9,0,0,0,1,1
216,1,0.1367,340.18,11.00209984,12.54,3570.0,27860,89.4,0,0,0,0,0
217,1,0.1322,101.41,10.49127422,22.43,5369.958333,12905,81.2,0,1,0,1,1
218,1,0.1426,626.08,10.858999,23.12,3627.0,13882,69.4,0,0,1,1,0
219,1,0.1287,336.34,11.04132055,13.63,2340.0,5338,86.1,0,0,0,1,1
220,1,0.1913,293.77,11.65268741,11.79,4410.0,17267,29.1,0,0,0,0,1
221,1,0.1496,69.3,10.68464561,15.27,3720.0,5472,97.7,0,1,0,1,0
222,1,0.1442,515.74,11.14186178,14.26,4530.041667,13235,47.8,0,0,0,1,1
223,1,0.1645,300.71,10.16585182,15.83,1473.0,9306,97.6,0,0,1,1,0
224,1,0.1442,515.74,10.73630972,11.48,2970.0,16727,53.1,0,0,0,0,0
225,1,0.0676,103.08,10.87804719,23.55,6330.041667,18350,29.9,0,0,0,1,1
226,1,0.1148,553.87,11.41861479,10.77,7290.0,17502,65.8,0,0,0,1,0
227,1,0.1183,596.41,12.21106019,18.33,4470.041667,15715,56.3,0,0,0,0,1
228,1,0.0774,218.54,11.27720313,3.17,4590.958333,482,1.6,0,0,0,0,1
229,1,0.1221,259.03,11.05089001,14.86,3750.0,10013,38.7,0,0,0,0,0
230,1,0.1565,848.42,11.28978191,23.08,7860.041667,46563,95.2,0,0,0,1,0
231,1,0.1411,684.58,11.35035948,19.27,5489.958333,17811,79.2,0,0,0,1,1
232,1,0.0933,104.65,11.03488966,3.83,3690.0,7089,41.9,0,0,0,1,1
233,1,0.1008,306.9,11.46163217,3.36,4170.0,16098,22.8,0,0,0,1,1
234,1,0.1357,407.63,10.6454249,21.77,5130.0,7263,60.0,0,0,0,0,0
235,1,0.0859,278.17,11.10495723,14.29,5160.041667,12657,8.6,0,0,0,1,0
236,1,0.1114,492.06,11.15625052,13.68,5729.958333,1248,3.7,0,0,0,0,2
237,1,0.1357,679.37,11.40756495,5.13,3929.958333,17470,25.1,1,0,0,0,0
238,1,0.0832,377.82,11.40756495,1.63,5729.041667,4359,15.3,0,0,0,1,0
239,1,0.1183,115.97,10.66895539,23.79,2580.0,3564,57.5,0,0,0,1,0
240,1,0.074,93.18,10.1266311,6.91,2250.041667,446,17.2,0,0,0,1,4
241,1,0.1126,98.59,11.08521475,17.21,5760.0,16389,58.1,0,0,0,1,1
242,1,0.1204,498.51,10.75790288,17.95,2609.0,16502,63.0,0,0,0,1,0
243,1,0.1392,256.03,11.74403719,11.86,4619.958333,20685,72.9,1,0,0,0,2
244,1,0.1399,307.56,10.55059079,10.71,4590.0,3015,82.2,0,0,0,1,0
245,1,0.1183,662.68,11.56171563,3.69,1679.958333,1470,14.7,0,0,0,1,0
246,1,0.1645,424.53,10.57385217,3.1,1140.0,4278,42.7,0,0,0,0,0
247,1,0.092,175.42,10.51867319,16.74,4590.041667,6566,48.6,0,0,0,1,1
248,1,0.1221,69.97,9.210340372,19.68,1121.0,603,6.2,0,0,0,1,5
249,1,0.1379,170.38,10.91508846,19.11,2309.958333,21391,87.6,0,0,0,1,1
250,1,0.1253,83.67,10.54691914,10.97,4410.0,7527,56.6,0,0,0,1,1
251,1,0.1379,85.19,9.903487553,23.82,2700.041667,5411,76.1,0,0,0,1,1
252,1,0.1062,325.6,11.11460974,6.13,4200.041667,10075,73.0,0,0,0,1,0
253,1,0.1051,325.08,11.05089001,22.63,6660.0,15655,44.3,0,0,0,0,0
254,1,0.0863,101.21,9.798127037,14.38,1530.0,0,0.0,0,0,0,1,1
255,1,0.1442,859.57,12.61153775,1.48,5279.958333,28367,66.5,1,0,0,0,2
256,1,0.1287,50.45,10.4744671,22.71,6119.958333,705,70.5,1,0,0,0,1
257,1,0.1253,220.88,11.40235138,20.2,9240.0,27017,45.7,0,0,0,0,0
258,1,0.1099,274.98,10.858999,18.62,4940.041667,9222,34.7,0,1,0,0,0
259,1,0.0775,168.6,8.987196821,3.0,6659.958333,1321,16.5,0,0,0,1,5
260,1,0.0963,192.57,10.69194491,4.99,4260.0,11741,14.6,0,0,0,1,0
261,1,0.0932,159.74,9.825526011,19.14,8640.0,11096,10.4,1,0,0,0,5
262,1,0.1253,66.94,11.00209984,4.12,3600.0,3021,18.1,0,0,0,1,0
263,1,0.1083,39.19,10.59663473,6.59,2310.041667,1262,42.1,0,0,0,1,0
264,1,0.1284,94.14,10.81069718,2.35,3270.0,3511,40.4,0,0,0,1,1
265,1,0.0832,236.14,10.53677857,9.01,2881.0,4007,24.0,0,0,0,1,1
266,1,0.1426,377.37,11.72803684,16.3,13170.0,62587,77.4,0,0,0,0,5
267,1,0.1357,271.75,10.65725935,24.99,1800.0,6382,74.2,0,0,0,1,0
268,1,0.1183,662.68,11.56171563,13.87,5471.0,11179,3.5,0,0,0,1,0
269,1,0.1221,399.78,11.01862914,17.7,4831.0,12416,21.9,0,0,0,0,0
270,1,0.1254,92.06,10.91501573,22.13,5400.0,18392,87.6,0,0,0,0,1
271,1,0.0996,386.99,11.51292546,8.17,3839.041667,25413,45.2,0,0,0,0,0
272,1,0.1126,98.59,10.81977828,9.05,2490.0,6371,37.9,0,0,0,0,1
273,1,0.1322,169.01,10.81977828,3.26,1500.0,3062,33.3,0,0,1,1,0
274,1,0.1189,530.63,11.45105006,13.93,7079.958333,9867,24.1,0,0,0,1,0
275,1,0.1357,84.93,10.59663473,7.89,8460.0,1243,17.8,0,0,1,0,0
276,1,0.1083,163.3,10.76840078,21.53,3604.958333,17194,54.8,0,0,1,1,0
277,1,0.1008,162.34,11.35040654,8.1,2699.958333,33667,73.2,0,0,0,1,0
278,1,0.1292,504.84,10.71441777,6.08,3240.0,5071,78.0,1,0,1,0,0
279,1,0.0894,317.72,11.1844214,9.38,5943.041667,3187,13.1,0,0,0,1,1
280,1,0.0932,287.53,11.62625415,0.43,5460.0,1074,3.9,0,0,0,1,3
281,1,0.1533,417.94,11.51292546,20.48,8011.0,88599,60.9,1,0,0,0,0
282,1,0.074,46.59,10.54534144,0.69,2640.041667,1125,16.5,0,0,0,1,0
283,1,0.1347,101.77,10.81977828,19.75,6960.0,17015,53.8,0,0,0,1,1
284,1,0.1095,261.71,10.04966366,14.46,3510.0,7251,25.6,0,0,1,1,1
285,1,0.1183,397.61,10.59663473,17.61,2190.0,7383,35.0,0,0,0,1,0
286,1,0.1189,318.38,10.4744671,21.15,3575.0,30332,44.4,0,0,0,0,1
287,1,0.1531,696.31,11.44678566,23.79,4410.0,59980,95.5,0,0,0,1,0
288,1,0.1261,670.13,11.33857208,14.51,1890.0,27129,39.0,0,0,0,0,0
289,1,0.1134,230.3,10.71441777,9.92,2520.041667,1767,34.6,0,1,0,1,1
290,1,0.1154,143.53,9.998797732,24.71,1291.041667,5967,25.5,0,0,0,1,0
291,1,0.0751,93.33,11.15625052,11.49,3240.0,9574,36.0,0,0,0,0,1
292,1,0.1284,605.13,10.91508846,7.29,6331.958333,16955,22.8,0,0,0,0,1
293,1,0.0945,448.14,10.6454249,5.31,3030.0,11556,24.3,0,0,0,1,0
294,1,0.08,47.01,11.05089001,16.9,2550.0,5848,44.6,0,0,0,1,1
295,1,0.1568,385.02,10.81985828,13.94,1770.0,11929,48.7,0,0,0,1,2
296,1,0.0963,346.62,11.58058411,9.41,10170.0,4229,7.1,0,0,0,1,0
297,1,0.1392,273.1,11.00209984,6.42,5789.958333,12897,47.8,3,0,0,0,0
298,1,0.1357,441.6,10.42821608,21.76,6780.041667,24127,70.5,0,0,0,0,0
299,1,0.1324,338.1,11.53272809,7.31,3823.0,27452,96.3,0,0,1,0,5
300,1,0.1704,89.19,11.15247196,0.0,8370.0,0,0.0,1,0,0,0,3
301,1,0.1229,163.43,13.12236338,2.19,2190.0,6459,23.8,0,0,0,1,2
302,1,0.1304,384.34,11.47210347,8.98,1170.0,6201,66.7,0,0,0,1,1
303,1,0.1531,844.28,11.28978191,24.3,4290.0,26324,86.6,0,0,0,1,0
304,1,0.1357,101.91,10.22557105,9.87,2099.958333,2229,82.6,0,0,0,0,0
